model,model_key,lambda,run_seed,epoch,lr,phase,loss,cls_loss,reg_loss,acc,tol1_acc,ang_mae_deg,fr,spikes_per_sample,synops_per_sample
ConvRecSNN,conv_snn,0.0,275,6,0.0002,train,0.6249556975364685,0.6249556975364685,0.0,0.958,0.99475,1.9726887903213501,0.058810059279203415,6334.54925,1223948.066
ConvRecSNN,conv_snn,0.0,275,6,0.0002,val,0.463372985124588,0.463372985124588,0.0,1.0,1.0,1.5300820684432983,0.05685176566243172,6123.6175,1183525.755
ConvRecSNN,conv_snn,0.03,275,1,0.001879422863405995,train,2.0181761398315428,2.016564691543579,0.001611446845345199,0.4305,0.796,11.466010612487793,0.053714896023273465,5785.739,1115748.203
ConvRecSNN,conv_snn,0.03,275,1,0.001879422863405995,val,0.9696333050727844,0.9681605863571167,0.0014727094396948814,0.89125,1.0,1.6682020664215087,0.04909031629562378,5287.61625,1021183.83
ConvRecSNN,conv_snn,0.03,275,2,0.0015500000000000002,train,1.079700677394867,1.0781742224693298,0.0015264527630060912,0.7785,0.988,2.6687936401367187,0.0508817597925663,5480.57625,1057986.041
ConvRecSNN,conv_snn,0.03,275,2,0.0015500000000000002,val,0.7027938008308411,0.7013482904434204,0.0014455129811540247,0.93875,1.0,1.6071841526031494,0.04818376675248146,5189.97,1003166.325
ConvRecSNN,conv_snn,0.03,275,3,0.0011,train,0.9046236004829407,0.9030997104644776,0.0015238917702808975,0.85575,0.9915,2.3470753154754638,0.05079639330506325,5471.38125,1055951.023
ConvRecSNN,conv_snn,0.03,275,3,0.0011,val,0.6625148677825927,0.6610198140144348,0.0014950520219281316,0.9225,1.0,1.6956823921203614,0.04983506858348846,5367.835,1035878.295
ConvRecSNN,conv_snn,0.03,275,4,0.0006500000000000003,train,0.7618698644638061,0.760287184715271,0.0015826816624030472,0.91475,0.99475,2.084747705459595,0.05275605660676956,5682.4605,1096868.754
ConvRecSNN,conv_snn,0.03,275,4,0.0006500000000000003,val,0.5058373725414276,0.5043281030654907,0.001509269098751247,0.9925,1.0,1.3585941171646119,0.05030897065997124,5418.88,1046661.555
ConvRecSNN,conv_snn,0.03,275,5,0.0003205771365940052,train,0.6714629445075989,0.669820342540741,0.0016426030416041612,0.94775,0.99525,1.9853780689239502,0.05475343596935272,5897.60225,1139373.038
ConvRecSNN,conv_snn,0.03,275,5,0.0003205771365940052,val,0.475120050907135,0.47354202151298525,0.0015780281461775303,1.0,1.0,1.5027829837799072,0.05260093912482262,5665.7525,1094976.255
ConvRecSNN,conv_snn,0.03,275,6,0.0002,train,0.629679916381836,0.6279720683097839,0.0017078487072139977,0.95625,0.9965,2.0104388666152953,0.05692829126119613,6131.86025,1185160.605
ConvRecSNN,conv_snn,0.03,275,6,0.0002,val,0.4694266402721405,0.46778202533721924,0.0016446136729791761,0.9975,1.0,1.5104912996292115,0.054820457100868226,5904.82125,1141927.855
ConvRecSNN,conv_snn,0.1,275,1,0.001879422863405995,train,1.997095022201538,1.9917441158294678,0.005350906331092119,0.4365,0.81125,10.695354650497437,0.05350906217098236,5763.56825,1112409.699
ConvRecSNN,conv_snn,0.1,275,1,0.001879422863405995,val,1.0224024510383607,1.0176245808601379,0.004777874071151018,0.81625,1.0,1.689322829246521,0.04777874022722244,5146.34375,994491.69
ConvRecSNN,conv_snn,0.1,275,2,0.0015500000000000002,train,1.0867822217941283,1.081758957862854,0.00502326013147831,0.76925,0.99,2.5380555114746093,0.050232600778341296,5410.654,1045201.914
ConvRecSNN,conv_snn,0.1,275,2,0.0015500000000000002,val,0.7258709669113159,0.7211376309394837,0.004733337480574846,0.915,1.0,1.6830014324188232,0.0473333740234375,5098.3725,984563.055
ConvRecSNN,conv_snn,0.1,275,3,0.0011,train,0.9214493527412414,0.9164130229949952,0.005036333438009024,0.84425,0.9905,2.413921102523804,0.05036333340406418,5424.7355,1047224.372
ConvRecSNN,conv_snn,0.1,275,3,0.0011,val,0.5894791746139526,0.5846370315551758,0.0048421484977006915,0.9625,1.0,1.4628005599975586,0.04842148408293724,5215.575,1006921.125
ConvRecSNN,conv_snn,0.1,275,4,0.0006500000000000003,train,0.7575829000473022,0.7522790541648865,0.005303845163434744,0.917,0.99375,2.0514643087387086,0.053038450717926025,5712.87775,1103104.527
ConvRecSNN,conv_snn,0.1,275,4,0.0006500000000000003,val,0.5255917870998382,0.5205504834651947,0.005041298773139715,0.98375,1.0,1.3773149585723876,0.05041298672556877,5430.08375,1048870.54
ConvRecSNN,conv_snn,0.1,275,5,0.0003205771365940052,train,0.6785765242576599,0.6730494937896728,0.005527026902884245,0.94325,0.994,1.9907196874618531,0.055270268082618715,5953.27125,1150397.055
ConvRecSNN,conv_snn,0.1,275,5,0.0003205771365940052,val,0.49291507244110105,0.48749446153640746,0.005420607626438141,0.99125,1.0,1.4456013059616089,0.05420607581734657,5838.645,1128675.41
ConvRecSNN,conv_snn,0.1,275,6,0.0002,train,0.632193907737732,0.626388973236084,0.005804936740547419,0.96,0.9965,1.9501031293869018,0.058049366414546964,6252.6135,1208765.898
ConvRecSNN,conv_snn,0.1,275,6,0.0002,val,0.4713038730621338,0.4657115411758423,0.005592329502105713,1.0,1.0,1.4919609546661377,0.05592329412698746,6023.61,1164807.935
ConvRecSNN,conv_snn,0.3,275,1,0.001879422863405995,train,2.0345955085754395,2.0189124908447265,0.015683014698326586,0.45175,0.81375,10.512189045906068,0.05227671355009079,5630.8295,1085241.138
ConvRecSNN,conv_snn,0.3,275,1,0.001879422863405995,val,1.0172111701965332,1.0026723337173462,0.014538832902908326,0.85375,1.0,1.6992451763153076,0.048462774455547336,5220.0225,1006574.49
ConvRecSNN,conv_snn,0.3,275,2,0.0015500000000000002,train,1.0962775611877442,1.0815292654037476,0.014748292289674282,0.794,0.98775,2.595337175369263,0.049160972207784655,5295.22675,1021663.017
ConvRecSNN,conv_snn,0.3,275,2,0.0015500000000000002,val,0.7271889615058899,0.7131642913818359,0.014024670198559762,0.9225,1.0,1.5948393535614014,0.046748898774385456,5035.4175,971314.83
ConvRecSNN,conv_snn,0.3,275,3,0.0011,train,0.9079277167320251,0.8930128593444824,0.014914856545627117,0.85925,0.992,2.333594255447388,0.049716186612844465,5355.03,1033015.789
ConvRecSNN,conv_snn,0.3,275,3,0.0011,val,0.601722674369812,0.5874188613891601,0.014303810708224774,0.97375,1.0,1.3144789838790893,0.047679366767406466,5135.64,990729.27
ConvRecSNN,conv_snn,0.3,275,4,0.0006500000000000003,train,0.7829934701919555,0.7676566467285156,0.015336824208498,0.90575,0.99275,2.1204142255783083,0.051122745126485826,5506.53325,1062739.158
ConvRecSNN,conv_snn,0.3,275,4,0.0006500000000000003,val,0.5519731760025024,0.5372361016273498,0.014737076945602895,0.97625,1.0,1.4165034532546996,0.049123587608337405,5291.2,1021599.525
ConvRecSNN,conv_snn,0.3,275,5,0.0003205771365940052,train,0.7100705413818359,0.6941162366867065,0.015954303443431853,0.936,0.99275,2.0491822481155397,0.05318100926280021,5728.233,1105717.424
ConvRecSNN,conv_snn,0.3,275,5,0.0003205771365940052,val,0.499375,0.4840242099761963,0.01535078976303339,0.99625,1.0,1.426285800933838,0.0511692975461483,5511.5475,1064128.5
ConvRecSNN,conv_snn,0.3,275,6,0.0002,train,0.6532195725440979,0.6368647451400757,0.016354824885725976,0.9625,0.996,1.9810678768157959,0.05451608046889305,5872.03625,1133989.315
ConvRecSNN,conv_snn,0.3,275,6,0.0002,val,0.48345680832862853,0.4676706385612488,0.01578616976737976,0.99875,1.0,1.4763255405426026,0.05262056365609169,5667.86625,1094932.095
ConvRecSNN,conv_snn,1.0,275,1,0.001879422863405995,train,2.0670577907562255,2.016916648864746,0.050141152948141095,0.438,0.7995,11.414480680465699,0.050141152948141095,5400.804,1041111.041
ConvRecSNN,conv_snn,1.0,275,1,0.001879422863405995,val,1.0850358152389525,1.038304271697998,0.046731549352407455,0.82625,1.0,1.6519974327087403,0.046731549352407455,5033.54875,970661.415
ConvRecSNN,conv_snn,1.0,275,2,0.0015500000000000002,train,1.154879557609558,1.1052054271697997,0.04967413219809532,0.769,0.987,2.5499278144836426,0.04967413219809532,5350.50025,1032227.719
ConvRecSNN,conv_snn,1.0,275,2,0.0015500000000000002,val,0.7360241413116455,0.6882739067077637,0.04775023847818374,0.93625,1.0,1.3596093320846558,0.04775023847818374,5143.27375,992689.095
ConvRecSNN,conv_snn,1.0,275,3,0.0011,train,0.9388294410705567,0.8877851076126099,0.051044334381818775,0.8535,0.99025,2.2776874351501464,0.051044334381818775,5498.0875,1060920.968
ConvRecSNN,conv_snn,1.0,275,3,0.0011,val,0.6550735449790954,0.6054098033905029,0.049663743674755095,0.97,1.0,1.3222616147994994,0.049663743674755095,5349.38125,1032763.35
ConvRecSNN,conv_snn,1.0,275,4,0.0006500000000000003,train,0.8338635468482971,0.7796485729217529,0.05421497705578804,0.89525,0.994,2.191270694732666,0.05421497705578804,5839.60375,1126823.699
ConvRecSNN,conv_snn,1.0,275,4,0.0006500000000000003,val,0.5685093307495117,0.5175377249717712,0.050971605628728864,0.98875,1.0,1.3448654651641845,0.050971605628728864,5490.25375,1059699.625
ConvRecSNN,conv_snn,1.0,275,5,0.0003205771365940052,train,0.7523277883529663,0.6961498656272889,0.05617791983485222,0.9315,0.99625,2.0146253042221067,0.05617791983485222,6051.03625,1168010.228
ConvRecSNN,conv_snn,1.0,275,5,0.0003205771365940052,val,0.5662868165969849,0.5113713765144348,0.05491544440388679,0.98375,1.0,1.4463712072372437,0.05491544440388679,5915.0525,1141746.575
ConvRecSNN,conv_snn,1.0,275,6,0.0002,train,0.7158314051628113,0.6576525959968567,0.05817880642414093,0.94075,0.9955,2.0215805168151855,0.05817880642414093,6266.55575,1209914.603
ConvRecSNN,conv_snn,1.0,275,6,0.0002,val,0.5298696422576904,0.4739926540851593,0.05587699025869369,0.99375,1.0,1.4759238862991333,0.05587699025869369,6018.6225,1162412.855
